,county,fips,state,state_name,today_case,today_death,TOT_POP,TOT_HH,PCT_CHLDN,PCT_YOUTH,PCT_AD,PCT_SR,PCT_WHT,PCT_NWHT,MED_HH_INC,PCT_BLW_POV_RT
0,Bladen,37017.0,NC,North Carolina,1611.0,23.0,33778,13968,17.2,11.3,51.6,20.0,58.0,42.0,32378,20.7
1,Stanly,37167.0,NC,North Carolina,3689.0,78.0,61114,23717,17.8,12.4,51.5,18.4,85.6,14.4,49590,10.1
2,Summit,39153.0,OH,Ohio,23394.0,480.0,541810,224385,17.4,12.7,52.9,17.0,81.5,18.5,55448,9.4
3,Sullivan,42113.0,PA,Pennsylvania,115.0,2.0,6177,2721,9.1,11.4,52.6,26.9,95.1,4.9,47346,6.3
4,Upshur,48459.0,TX,Texas,1452.0,27.0,40769,14036,20.0,12.3,50.3,17.4,87.5,12.5,50906,9.0
5,Brown,48049.0,TX,Texas,2324.0,53.0,37834,14016,18.3,13.7,48.9,19.1,93.3,6.7,45457,11.1
6,Cherokee,45021.0,SC,South Carolina,2653.0,74.0,56711,20373,19.4,13.5,51.0,16.0,77.4,22.6,35836,14.9
7,Cullman,1043.0,AL,Alabama,6064.0,64.0,82313,30730,18.6,11.9,51.6,17.9,96.9,3.1,42558,11.7
8,Grant,54023.0,WV,West Virginia,624.0,13.0,11641,4556,15.5,11.2,49.9,23.6,97.8,2.2,41071,8.7
9,Haakon,46055.0,SD,South Dakota,212.0,5.0,2082,909,18.8,11.0,46.3,24.1,97.1,2.9,37420,12.2
10,Kewaunee,55061.0,WI,Wisconsin,2017.0,23.0,20360,8238,17.7,11.3,51.7,19.3,98.3,1.7,63118,5.4
11,Fulton,18049.0,IN,Indiana,1236.0,22.0,20212,7884,19.4,11.8,50.3,18.6,94.7,5.3,49333,10.3
12,Hardin,19083.0,IA,Iowa,1355.0,22.0,17127,7175,16.5,12.7,49.7,21.2,96.4,3.6,53872,5.0
13,Neosho,20133.0,KS,Kansas,962.0,8.0,16125,6681,20.8,12.6,47.7,18.9,97.4,2.6,44294,13.0
14,Pawnee,31133.0,NE,Nebraska,152.0,1.0,2676,1219,17.0,10.1,45.5,27.4,99.8,0.2,46314,11.4
15,Franklin,1059.0,AL,Alabama,2953.0,35.0,31542,11210,20.5,13.6,49.9,16.2,84.9,15.1,40459,14.8
