ZipCode,Main_City,FIPS,County_Forecast_Week_Ahead_Total,ZipPopulation,ZipCode_Forecast_Week_Ahead_Total,4/3/20,4/10/20,4/17/20
62301,Quincy,17001,28,32078,14,14,21,31
62305,Quincy,17001,28,19357,9,9,13,19
62320,Camp Point,17001,28,2324,1,1,1,1
62325,Coatsburg,17001,28,1076,0,0,0,0
62338,Fowler,17001,28,1316,1,1,1,1
62339,Golden,17001,28,874,0,0,0,0
62347,Liberty,17001,28,1956,1,1,1,1
62359,Paloma,17001,28,884,0,0,0,0
62360,Payson,17001,28,1918,1,1,1,1
62365,Plainville,17001,28,620,0,0,0,0
62376,Ursa,17001,28,1204,1,1,1,1
62914,Cairo,17003,14,2738,6,6,9,13
62962,Miller City,17003,14,9,0,0,0,0
62969,Olive Branch,17003,14,398,1,1,1,1
62988,Tamms,17003,14,1570,3,3,4,6
62990,Thebes,17003,14,1570,3,3,4,6
62246,Greenville,17005,14,9916,13,13,19,28
62284,Smithboro,17005,14,549,1,1,1,1
61012,Capron,17007,175,2432,33,33,49,73
61065,Poplar Grove,17007,175,10360,142,142,213,319
62324,Clayton,17009,21,1076,10,10,15,22
62375,Timewell,17009,21,294,3,3,4,6
62378,Versailles,17009,21,955,9,9,13,19
61312,Arlington,17011,14,511,0,0,0,0
61314,Buda,17011,14,511,0,0,0,0
61320,Dalzell,17011,14,724,0,0,0,0
61329,Ladd,17011,14,1185,1,1,1,1
61337,Malden,17011,14,569,0,0,0,0
61356,Princeton,17011,14,10680,7,7,10,15
61362,Spring Valley,17011,14,5585,3,3,4,6
61368,Tiskilwa,17011,14,1428,1,1,1,1
61379,Wyanet,17011,14,1488,1,1,1,1
62006,Batchtown,17013,7,490,0,0,0,0
62013,Brussels,17013,7,693,0,0,0,0
62036,Golden Eagle,17013,7,16520,3,3,4,6
62045,Hamburg,17013,7,429,0,0,0,0
62047,Hardin,17013,7,1443,0,0,0,0
62053,Kampsville,17013,7,12292,2,2,3,4
62065,Michael,17013,7,179,0,0,0,0
62070,Mozier,17013,7,48,0,0,0,0
61046,Lanark,17015,7,2451,0,0,0,0
61285,Thomson,17015,7,1627,0,0,0,0
61299,Rock Island,17015,7,1627,0,0,0,0
62618,Beardstown,17017,21,7398,17,17,25,37
62691,Virginia,17017,21,1978,4,4,6,9
61801,Urbana,17019,196,31157,31,31,46,69
61802,Urbana,17019,196,19349,19,19,28,42
61816,Broadlands,17019,196,458,0,0,0,0
61820,Champaign,17019,196,38156,38,38,57,85
61821,Champaign,17019,196,30582,31,31,46,69
61822,Champaign,17019,196,25829,26,26,39,58
61840,Dewey,17019,196,8778,9,9,13,19
61847,Gifford,17019,196,1239,1,1,1,1
61863,Pesotum,17019,196,806,1,1,1,1
61864,Philo,17019,196,1719,2,2,3,4
61866,Rantoul,17019,196,14296,14,14,21,31
61873,Saint Joseph,17019,196,6519,7,7,10,15
61874,Savoy,17019,196,8150,8,8,12,18
61875,Seymour,17019,196,818,1,1,1,1
61877,Sidney,17019,196,1803,2,2,3,4
61878,Thomasboro,17019,196,1310,1,1,1,1
61880,Tolono,17019,196,3831,4,4,6,9
62517,Bulpitt,17021,21,1010,1,1,1,1
62531,Edinburg,17021,21,1764,2,2,3,4
62555,Owaneco,17021,21,423,0,0,0,0
62556,Palmer,17021,21,423,0,0,0,0
62567,Stonington,17021,21,1035,1,1,1,1
62568,Taylorville,17021,21,15787,16,16,24,36
62477,West Union,17023,14,1590,14,14,21,31
62839,Flora,17025,14,6397,14,14,21,31
62215,Albers,17027,21,1907,1,1,1,1
62216,Aviston,17027,21,2742,2,2,3,4
62218,Bartelso,17027,21,1820,1,1,1,1
62230,Breese,17027,21,6279,4,4,6,9
62231,Carlyle,17027,21,7436,4,4,6,9
62245,Germantown,17027,21,1692,1,1,1,1
62250,Hoffman,17027,21,15507,9,9,13,19
61912,Ashmore,17029,56,1227,1,1,1,1
61920,Charleston,17029,56,24001,27,27,40,60
61931,Humboldt,17029,56,1080,1,1,1,1
61938,Mattoon,17029,56,21840,25,25,37,55
62474,Westfield,17029,56,1443,2,2,3,4
60004,Arlington Heights,17031,8183,50915,79,79,118,177
60005,Arlington Heights,17031,8183,29539,46,46,69,103
60007,Elk Grove Village,17031,8183,33420,52,52,78,117
60008,Rolling Meadows,17031,8183,21833,34,34,51,76
60016,Des Plaines,17031,8183,59637,93,93,139,208
60018,Des Plaines,17031,8183,30386,47,47,70,105
60019,Des Plaines,17031,8183,30386,47,47,70,105
60022,Glencoe,17031,8183,8477,13,13,19,28
60025,Glenview,17031,8183,41014,64,64,96,144
60026,Glenview,17031,8183,14118,22,22,33,49
60043,Kenilworth,17031,8183,2512,4,4,6,9
60053,Morton Grove,17031,8183,23256,36,36,54,81
60055,Palatine,17031,8183,23256,36,36,54,81
60056,Mount Prospect,17031,8183,55250,86,86,129,193
60062,Northbrook,17031,8183,40459,63,63,94,141
60067,Palatine,17031,8183,38177,59,59,88,132
60068,Park Ridge,17031,8183,37736,59,59,88,132
60070,Prospect Heights,17031,8183,16049,25,25,37,55
60076,Skokie,17031,8183,31867,49,49,73,109
60077,Skokie,17031,8183,28329,44,44,66,99
60090,Wheeling,17031,8183,38476,60,60,90,135
60091,Wilmette,17031,8183,27367,42,42,63,94
60093,Winnetka,17031,8183,19441,30,30,45,67
60104,Bellwood,17031,8183,18999,29,29,43,64
60105,Bensenville,17031,8183,18999,29,29,43,64
60107,Streamwood,17031,8183,40437,63,63,94,141
60130,Forest Park,17031,8183,14041,22,22,33,49
60131,Franklin Park,17031,8183,18025,28,28,42,63
60132,Carol Stream,17031,8183,18025,28,28,42,63
60153,Maywood,17031,8183,23810,37,37,55,82
60154,Westchester,17031,8183,16573,26,26,39,58
60155,Broadview,17031,8183,7829,12,12,18,27
60160,Melrose Park,17031,8183,25412,39,39,58,87
60162,Hillside,17031,8183,8165,13,13,19,28
60163,Berkeley,17031,8183,5161,8,8,12,18
60164,Melrose Park,17031,8183,21600,34,34,51,76
60165,Stone Park,17031,8183,4923,8,8,12,18
60169,Hoffman Estates,17031,8183,33667,52,52,78,117
60171,River Grove,17031,8183,10148,16,16,24,36
60173,Schaumburg,17031,8183,12162,19,19,28,42
60176,Schiller Park,17031,8183,11704,18,18,27,40
60192,Hoffman Estates,17031,8183,15650,24,24,36,54
60193,Schaumburg,17031,8183,40248,62,62,93,139
60194,Schaumburg,17031,8183,18946,29,29,43,64
60195,Schaumburg,17031,8183,5568,9,9,13,19
60196,Schaumburg,17031,8183,5568,9,9,13,19
60199,Carol Stream,17031,8183,5568,9,9,13,19
60201,Evanston,17031,8183,42296,66,66,99,148
60202,Evanston,17031,8183,32861,51,51,76,114
60203,Evanston,17031,8183,4188,7,7,10,15
60208,Evanston,17031,8183,4188,7,7,10,15
60301,Oak Park,17031,8183,2536,4,4,6,9
60302,Oak Park,17031,8183,32048,50,50,75,112
60304,Oak Park,17031,8183,17641,27,27,40,60
60305,River Forest,17031,8183,11064,17,17,25,37
60399,Wood Dale,17031,8183,11064,17,17,25,37
60402,Berwyn,17031,8183,63554,99,99,148,222
60406,Blue Island,17031,8183,25256,39,39,58,87
60409,Calumet City,17031,8183,36955,57,57,85,127
60411,Chicago Heights,17031,8183,57800,90,90,135,202
60415,Chicago Ridge,17031,8183,14254,22,22,33,49
60419,Dolton,17031,8183,22644,35,35,52,78
60422,Flossmoor,17031,8183,9768,15,15,22,33
60425,Glenwood,17031,8183,8912,14,14,21,31
60426,Harvey,17031,8183,28924,45,45,67,100
60428,Markham,17031,8183,12271,19,19,28,42
60429,Hazel Crest,17031,8183,15387,24,24,36,54
60430,Homewood,17031,8183,20227,31,31,46,69
60438,Lansing,17031,8183,28960,45,45,67,100
60443,Matteson,17031,8183,21554,33,33,49,73
60445,Midlothian,17031,8183,25930,40,40,60,90
60452,Oak Forest,17031,8183,28324,44,44,66,99
60453,Oak Lawn,17031,8183,56420,88,88,132,198
60455,Bridgeview,17031,8183,16479,26,26,39,58
60456,Hometown,17031,8183,4308,7,7,10,15
60457,Hickory Hills,17031,8183,14018,22,22,33,49
60458,Justice,17031,8183,15288,24,24,36,54
60459,Burbank,17031,8183,28908,45,45,67,100
60461,Olympia Fields,17031,8183,4917,8,8,12,18
60462,Orland Park,17031,8183,40305,63,63,94,141
60463,Palos Heights,17031,8183,14926,23,23,34,51
60464,Palos Park,17031,8183,9715,15,15,22,33
60465,Palos Hills,17031,8183,17473,27,27,40,60
60469,Posen,17031,8183,5780,9,9,13,19
60472,Robbins,17031,8183,4870,8,8,12,18
60473,South Holland,17031,8183,22201,34,34,51,76
60476,Thornton,17031,8183,2493,4,4,6,9
60478,Country Club Hills,17031,8183,17112,27,27,40,60
