FIPS,CountyName,County_Population,County_Forecast_Week_Ahead_Total,Number_Booths,4/3/20,4/10/20,4/17/20
17001,Adams IL,65435,28,1,28,42,63
17003,Alexander IL,5761,14,1,14,21,31
17005,Bond IL,16426,14,1,14,21,31
17007,Boone IL,53544,175,5,175,262,393
17009,Brown IL,6578,21,1,21,31,46
17011,Bureau IL,32628,14,1,14,21,31
17013,Calhoun IL,4739,7,1,7,10,15
17015,Carroll IL,14305,7,1,7,10,15
17017,Cass IL,12147,21,1,21,31,46
17019,Champaign IL,209689,196,5,196,294,441
17021,Christian IL,32304,21,1,21,31,46
17023,Clark IL,15441,14,1,14,21,31
17025,Clay IL,13184,14,1,14,21,31
17027,Clinton IL,37562,21,1,21,31,46
17029,Coles IL,50621,56,2,56,84,126
17031,Cook IL,5150233,8183,195,8183,12274,18411
17033,Crawford IL,18667,14,1,14,21,31
17035,Cumberland IL,10766,7,1,7,10,15
17037,DeKalb IL,104897,98,3,98,147,220
17039,De Witt IL,15638,14,1,14,21,31
17041,Douglas IL,19465,14,1,14,21,31
17043,DuPage IL,922921,1183,29,1183,1774,2661
17045,Edgar IL,17161,14,1,14,21,31
17047,Edwards IL,6395,7,1,7,10,15
17049,Effingham IL,34008,14,1,14,21,31
17051,Fayette IL,21336,14,1,14,21,31
17053,Ford IL,12961,21,1,21,31,46
17055,Franklin IL,38469,14,1,14,21,31
17057,Fulton IL,34340,14,1,14,21,31
17059,Gallatin IL,4828,7,1,7,10,15
17061,Greene IL,12969,7,1,7,10,15
17063,Grundy IL,51054,77,2,77,115,172
17065,Hamilton IL,8116,14,1,14,21,31
17067,Hancock IL,17708,7,1,7,10,15
17069,Hardin IL,3821,7,1,7,10,15
17071,Henderson IL,6646,7,1,7,10,15
17073,Henry IL,48913,21,1,21,31,46
17075,Iroquois IL,27114,14,1,14,21,31
17077,Jackson IL,56750,56,2,56,84,126
17079,Jasper IL,9610,14,1,14,21,31
17081,Jefferson IL,37684,14,1,14,21,31
17083,Jersey IL,21773,14,1,14,21,31
17085,Jo Daviess IL,21235,7,1,7,10,15
17087,Johnson IL,12417,7,1,7,10,15
17089,Kane IL,532403,847,21,847,1270,1905
17091,Kankakee IL,109862,70,2,70,105,157
17093,Kendall IL,128990,399,10,399,598,897
17095,Knox IL,49699,35,1,35,52,78
17097,Lake IL,696535,1540,37,1540,2310,3465
17099,La Salle IL,108669,35,1,35,52,78
17101,Lawrence IL,15678,14,1,14,21,31
17103,Lee IL,34096,14,1,14,21,31
17105,Livingston IL,35648,35,1,35,52,78
17107,Logan IL,28618,21,1,21,31,46
17109,McDonough IL,29682,56,2,56,84,126
17111,McHenry IL,307774,385,10,385,577,865
17113,McLean IL,171517,154,4,154,231,346
17115,Macon IL,104009,105,3,105,157,235
17117,Macoupin IL,44926,14,1,14,21,31
17119,Madison IL,262966,112,3,112,168,252
17121,Marion IL,37205,21,1,21,31,46
17123,Marshall IL,11438,7,1,7,10,15
17125,Mason IL,13359,7,1,7,10,15
17127,Massac IL,13772,21,1,21,31,46
17129,Menard IL,12196,14,1,14,21,31
17131,Mercer IL,15437,7,1,7,10,15
17133,Monroe IL,34637,70,2,70,105,157
17135,Montgomery IL,28414,21,1,21,31,46
17137,Morgan IL,33658,28,1,28,42,63
17139,Moultrie IL,14501,14,1,14,21,31
17141,Ogle IL,50643,21,1,21,31,46
17143,Peoria IL,179179,119,3,119,178,267
17145,Perry IL,20916,21,1,21,31,46
17147,Piatt IL,16344,14,1,14,21,31
17149,Pike IL,15561,7,1,7,10,15
17151,Pope IL,4177,7,1,7,10,15
17153,Pulaski IL,5335,7,1,7,10,15
17155,Putnam IL,5739,7,1,7,10,15
17157,Randolph IL,31782,21,1,21,31,46
17159,Richland IL,15513,21,1,21,31,46
17161,Rock Island IL,141879,105,3,105,157,235
17163,St. Clair IL,259686,287,7,287,430,645
17165,Saline IL,23491,28,1,28,42,63
17167,Sangamon IL,194672,161,4,161,241,361
17169,Schuyler IL,6768,14,1,14,21,31
17171,Scott IL,4951,7,1,7,10,15
17173,Shelby IL,21634,7,1,7,10,15
17175,Stark IL,5342,7,1,7,10,15
17177,Stephenson IL,44498,21,1,21,31,46
17179,Tazewell IL,131803,49,2,49,73,109
17181,Union IL,16653,14,1,14,21,31
17183,Vermilion IL,75758,28,1,28,42,63
17185,Wabash IL,11520,21,1,21,31,46
17187,Warren IL,16844,28,1,28,42,63
17189,Washington IL,13887,14,1,14,21,31
17191,Wayne IL,16215,7,1,7,10,15
17193,White IL,13537,14,1,14,21,31
17195,Whiteside IL,55175,28,1,28,42,63
17197,Will IL,690743,861,21,861,1291,1936
17199,Williamson IL,66597,28,1,28,42,63
17201,Winnebago IL,282572,133,4,133,199,298
17203,Woodford IL,38459,21,1,21,31,46
