ZipCode,Main_City,FIPS,County_Forecast_Week_Ahead_Total,ZipPopulation,ZipCode_Forecast_Week_Ahead_Total
62301,Quincy,17001,28,32078,14
62305,Quincy,17001,28,19357,9
62320,Camp Point,17001,28,2324,1
62325,Coatsburg,17001,28,1076,0
62338,Fowler,17001,28,1316,1
62339,Golden,17001,28,874,0
62347,Liberty,17001,28,1956,1
62359,Paloma,17001,28,884,0
62360,Payson,17001,28,1918,1
62365,Plainville,17001,28,620,0
62376,Ursa,17001,28,1204,1
62914,Cairo,17003,14,2738,6
62962,Miller City,17003,14,9,0
62969,Olive Branch,17003,14,398,1
62988,Tamms,17003,14,1570,3
62990,Thebes,17003,14,1570,3
62246,Greenville,17005,14,9916,13
62284,Smithboro,17005,14,549,1
61012,Capron,17007,175,2432,33
61065,Poplar Grove,17007,175,10360,142
62324,Clayton,17009,21,1076,10
62375,Timewell,17009,21,294,3
62378,Versailles,17009,21,955,9
61312,Arlington,17011,14,511,0
61314,Buda,17011,14,511,0
61320,Dalzell,17011,14,724,0
61329,Ladd,17011,14,1185,1
61337,Malden,17011,14,569,0
61356,Princeton,17011,14,10680,7
61362,Spring Valley,17011,14,5585,3
61368,Tiskilwa,17011,14,1428,1
61379,Wyanet,17011,14,1488,1
62006,Batchtown,17013,7,490,0
62013,Brussels,17013,7,693,0
62036,Golden Eagle,17013,7,16520,3
62045,Hamburg,17013,7,429,0
62047,Hardin,17013,7,1443,0
62053,Kampsville,17013,7,12292,2
62065,Michael,17013,7,179,0
62070,Mozier,17013,7,48,0
61046,Lanark,17015,7,2451,0
61285,Thomson,17015,7,1627,0
61299,Rock Island,17015,7,1627,0
62618,Beardstown,17017,21,7398,17
62691,Virginia,17017,21,1978,4
61801,Urbana,17019,196,31157,31
61802,Urbana,17019,196,19349,19
61816,Broadlands,17019,196,458,0
61820,Champaign,17019,196,38156,38
61821,Champaign,17019,196,30582,31
61822,Champaign,17019,196,25829,26
61840,Dewey,17019,196,8778,9
61847,Gifford,17019,196,1239,1
61863,Pesotum,17019,196,806,1
61864,Philo,17019,196,1719,2
61866,Rantoul,17019,196,14296,14
61873,Saint Joseph,17019,196,6519,7
61874,Savoy,17019,196,8150,8
61875,Seymour,17019,196,818,1
61877,Sidney,17019,196,1803,2
61878,Thomasboro,17019,196,1310,1
61880,Tolono,17019,196,3831,4
62517,Bulpitt,17021,21,1010,1
62531,Edinburg,17021,21,1764,2
62555,Owaneco,17021,21,423,0
62556,Palmer,17021,21,423,0
62567,Stonington,17021,21,1035,1
62568,Taylorville,17021,21,15787,16
62477,West Union,17023,14,1590,14
62839,Flora,17025,14,6397,14
62215,Albers,17027,21,1907,1
62216,Aviston,17027,21,2742,2
62218,Bartelso,17027,21,1820,1
62230,Breese,17027,21,6279,4
62231,Carlyle,17027,21,7436,4
62245,Germantown,17027,21,1692,1
62250,Hoffman,17027,21,15507,9
61912,Ashmore,17029,56,1227,1
61920,Charleston,17029,56,24001,27
61931,Humboldt,17029,56,1080,1
61938,Mattoon,17029,56,21840,25
62474,Westfield,17029,56,1443,2
60004,Arlington Heights,17031,8183,50915,79
60005,Arlington Heights,17031,8183,29539,46
60007,Elk Grove Village,17031,8183,33420,52
60008,Rolling Meadows,17031,8183,21833,34
60016,Des Plaines,17031,8183,59637,93
60018,Des Plaines,17031,8183,30386,47
60019,Des Plaines,17031,8183,30386,47
60022,Glencoe,17031,8183,8477,13
60025,Glenview,17031,8183,41014,64
60026,Glenview,17031,8183,14118,22
60043,Kenilworth,17031,8183,2512,4
60053,Morton Grove,17031,8183,23256,36
60055,Palatine,17031,8183,23256,36
60056,Mount Prospect,17031,8183,55250,86
60062,Northbrook,17031,8183,40459,63
60067,Palatine,17031,8183,38177,59
60068,Park Ridge,17031,8183,37736,59
60070,Prospect Heights,17031,8183,16049,25
60076,Skokie,17031,8183,31867,49
60077,Skokie,17031,8183,28329,44
60090,Wheeling,17031,8183,38476,60
60091,Wilmette,17031,8183,27367,42
60093,Winnetka,17031,8183,19441,30
60104,Bellwood,17031,8183,18999,29
60105,Bensenville,17031,8183,18999,29
60107,Streamwood,17031,8183,40437,63
60130,Forest Park,17031,8183,14041,22
60131,Franklin Park,17031,8183,18025,28
60132,Carol Stream,17031,8183,18025,28
60153,Maywood,17031,8183,23810,37
60154,Westchester,17031,8183,16573,26
60155,Broadview,17031,8183,7829,12
60160,Melrose Park,17031,8183,25412,39
60162,Hillside,17031,8183,8165,13
60163,Berkeley,17031,8183,5161,8
60164,Melrose Park,17031,8183,21600,34
60165,Stone Park,17031,8183,4923,8
60169,Hoffman Estates,17031,8183,33667,52
60171,River Grove,17031,8183,10148,16
60173,Schaumburg,17031,8183,12162,19
60176,Schiller Park,17031,8183,11704,18
60192,Hoffman Estates,17031,8183,15650,24
60193,Schaumburg,17031,8183,40248,62
60194,Schaumburg,17031,8183,18946,29
60195,Schaumburg,17031,8183,5568,9
60196,Schaumburg,17031,8183,5568,9
60199,Carol Stream,17031,8183,5568,9
60201,Evanston,17031,8183,42296,66
60202,Evanston,17031,8183,32861,51
60203,Evanston,17031,8183,4188,7
60208,Evanston,17031,8183,4188,7
60301,Oak Park,17031,8183,2536,4
60302,Oak Park,17031,8183,32048,50
60304,Oak Park,17031,8183,17641,27
60305,River Forest,17031,8183,11064,17
60399,Wood Dale,17031,8183,11064,17
60402,Berwyn,17031,8183,63554,99
60406,Blue Island,17031,8183,25256,39
60409,Calumet City,17031,8183,36955,57
60411,Chicago Heights,17031,8183,57800,90
60415,Chicago Ridge,17031,8183,14254,22
60419,Dolton,17031,8183,22644,35
60422,Flossmoor,17031,8183,9768,15
60425,Glenwood,17031,8183,8912,14
60426,Harvey,17031,8183,28924,45
60428,Markham,17031,8183,12271,19
60429,Hazel Crest,17031,8183,15387,24
60430,Homewood,17031,8183,20227,31
60438,Lansing,17031,8183,28960,45
60443,Matteson,17031,8183,21554,33
60445,Midlothian,17031,8183,25930,40
60452,Oak Forest,17031,8183,28324,44
60453,Oak Lawn,17031,8183,56420,88
60455,Bridgeview,17031,8183,16479,26
60456,Hometown,17031,8183,4308,7
60457,Hickory Hills,17031,8183,14018,22
60458,Justice,17031,8183,15288,24
60459,Burbank,17031,8183,28908,45
60461,Olympia Fields,17031,8183,4917,8
60462,Orland Park,17031,8183,40305,63
60463,Palos Heights,17031,8183,14926,23
60464,Palos Park,17031,8183,9715,15
60465,Palos Hills,17031,8183,17473,27
60469,Posen,17031,8183,5780,9
60472,Robbins,17031,8183,4870,8
60473,South Holland,17031,8183,22201,34
60476,Thornton,17031,8183,2493,4
60478,Country Club Hills,17031,8183,17112,27
60480,Willow Springs,17031,8183,5370,8
60482,Worth,17031,8183,10916,17
60501,Summit Argo,17031,8183,11854,18
60513,Brookfield,17031,8183,18880,29
60525,La Grange,17031,8183,30576,47
60526,La Grange Park,17031,8183,13546,21
60534,Lyons,17031,8183,10544,16
60546,Riverside,17031,8183,15685,24
60558,Western Springs,17031,8183,13227,21
60601,Chicago,17031,8183,14675,23
60602,Chicago,17031,8183,1244,2
60603,Chicago,17031,8183,1174,2
60604,Chicago,17031,8183,782,1
60605,Chicago,17031,8183,27519,43
60606,Chicago,17031,8183,3101,5
60607,Chicago,17031,8183,29591,46
60608,Chicago,17031,8183,79205,123
60609,Chicago,17031,8183,61495,95
60610,Chicago,17031,8183,39019,61
60611,Chicago,17031,8183,32426,50
60612,Chicago,17031,8183,34311,53
60613,Chicago,17031,8183,50113,78
60614,Chicago,17031,8183,71308,111
60615,Chicago,17031,8183,41563,65
60616,Chicago,17031,8183,54464,85
60617,Chicago,17031,8183,82534,128
60618,Chicago,17031,8183,94395,147
60619,Chicago,17031,8183,61258,95
60620,Chicago,17031,8183,68096,106
60621,Chicago,17031,8183,29042,45
60622,Chicago,17031,8183,52793,82
60623,Chicago,17031,8183,85979,133
60624,Chicago,17031,8183,36158,56
60625,Chicago,17031,8183,79243,123
60626,Chicago,17031,8183,49730,77
60628,Chicago,17031,8183,66724,104
60629,Chicago,17031,8183,111850,174
60630,Chicago,17031,8183,57344,89
60631,Chicago,17031,8183,29529,46
60632,Chicago,17031,8183,91039,141
60633,Chicago,17031,8183,12871,20
60634,Chicago,17031,8183,75995,118
60636,Chicago,17031,8183,32203,50
60637,Chicago,17031,8183,47454,74
60638,Chicago,17031,8183,58797,91
60639,Chicago,17031,8183,90517,141
60640,Chicago,17031,8183,69715,108
60641,Chicago,17031,8183,71023,110
60642,Chicago,17031,8183,20201,31
60643,Chicago,17031,8183,49870,77
60644,Chicago,17031,8183,47712,74
60645,Chicago,17031,8183,47732,74
60646,Chicago,17031,8183,27987,43
60647,Chicago,17031,8183,87509,136
60649,Chicago,17031,8183,46024,71
60651,Chicago,17031,8183,63218,98
60652,Chicago,17031,8183,43907,68
60653,Chicago,17031,8183,31972,50
60654,Chicago,17031,8183,19135,30
60655,Chicago,17031,8183,28804,45
60656,Chicago,17031,8183,27579,43
60657,Chicago,17031,8183,70052,109
60659,Chicago,17031,8183,41068,64
60660,Chicago,17031,8183,43242,67
60661,Chicago,17031,8183,9926,15
60668,Chicago,17031,8183,9926,15
60669,Chicago,17031,8183,9926,15
60670,Chicago,17031,8183,9926,15
60673,Chicago,17031,8183,9926,15
60674,Chicago,17031,8183,9926,15
60675,Chicago,17031,8183,9926,15
60677,Chicago,17031,8183,9926,15
60678,Chicago,17031,8183,9926,15
60682,Chicago,17031,8183,9926,15
60684,Chicago,17031,8183,9926,15
60685,Chicago,17031,8183,9926,15
60686,Chicago,17031,8183,9926,15
60687,Chicago,17031,8183,9926,15
60688,Chicago,17031,8183,9926,15
60689,Chicago,17031,8183,9926,15
60693,Chicago,17031,8183,9926,15
60694,Chicago,17031,8183,9926,15
60695,Chicago,17031,8183,9926,15
60696,Chicago,17031,8183,9926,15
60697,Chicago,17031,8183,9926,15
60699,Chicago,17031,8183,9926,15
60701,Chicago,17031,8183,9926,15
60706,Harwood Heights,17031,8183,23301,36
60707,Elmwood Park,17031,8183,43019,67
60712,Lincolnwood,17031,8183,12539,19
60714,Niles,17031,8183,29743,46
60803,Alsip,17031,8183,22390,35
60804,Cicero,17031,8183,83147,129
60805,Evergreen Park,17031,8183,19666,31
60827,Riverdale,17031,8183,28577,44
62413,Annapolis,17033,14,4136,3
62433,Hutsonville,17033,14,927,1
62442,Martinsville,17033,14,2814,2
62451,Palestine,17033,14,2041,1
62454,Robinson,17033,14,11088,7
62478,West York,17033,14,389,0
62428,Greenup,17035,7,2803,2
